Shark name,Shark address,
Shark 4210,0x45c531e88b2372bc37b754d3631dc7604f26efaa,
Shark 537,0xaf493fd806659ff6c709973c8b1d662e5f9bc1eb,
Shark 12411,0xce2e842509ee11a7d3463e9ba58f25ca474c96fb,
Shark 4626,0x70f03a9b644379b2658833660f1d42fbdb81fee0,
Shark 508,0xa1ee2ece08b015e5c9428a5a3c5bc9a704e7ea06,
Shark 306,0x466a96abbba294a6489ce46271c506ebd0b56365,
Shark 5801,0x162d2651ead7f4a43f356f476974d8467a91e6ee,
Shark 5147,0xd6ca8e37a47996b9e381f452d875ff75dbb73357,
Shark 4966,0xd4960faed61cc63ba9339dabbe72eb578cecb5ec,
Shark 437,0x7d5e2f114def31ff17bcb330a25f956f3f5458bf,
Shark 6801,0xeb4add5bc5ce41e055beca74aa70ac81fc59ea24,
Shark 5272,0x658d9c90ac330369418bc51efe9f62e80a9bb435,
Shark 4819,0x0887159799951fa038ecd71dd8335d2c19d14d29,
Shark 5211,0xb825bdea4751e2be520b6df5f694f9242ca7f234,
Shark 4226,0xebf919b0dafb9ea4bf324108a142c64a69052d8f,
Shark 5262,0x81d80ae9d6670cd9ffd28812e2360535b1cec339,
Shark 10864,0x157d4ef6b165dd662b8ddbeee5c6c2c461e7c7c4,
Shark 12577,0x36d2b4ba4806c2eeba7709a1e4717ef03920fbe2,
Shark 4083,0x8255a942b323873574389419903027ae1bbca232,
Shark 3123,0x191458d229eafe1e246e4c28d346fcb10acb12a3,
Shark 4314,0x4f89e886b7281db8ded9b604cece932063dfdcdc,
Shark 12088,0xf38746dc80af641247f4ca11ece611696806d438,
Shark 12412,0x5aa1c78a91f6305250d600a5a563d5f95c85557d,
Shark 12255,0xf1fb5dea21337feb46963c29d04a95f6ca8b71e6,
Shark 11913,0x681aefa75c0f3b26bf052b2869ce3bb12d7930d2,
Shark 5403,0xe0091f59c5b9a3d2a6d48a78a67d4e313a95b730,
Shark 5071,0x01e1046bcdc5624b63badb5de2313c49c4c5278e,
Shark 5243,0xe8fce3d4f4724fec2afbaec86fc9b35aca8e6755,
Shark 10489,0x568ea7d5c3ec009543a841178e96ef00cb757e42,
Shark 4594,0x70db604b82162473ff57fc47464161d8dd6e215f,
Shark 3176,0xa69eb732230f041e62640da3571f414a01413db3,
Shark 3386,0xd862f60048c243ac0a45150b1c8fc2a3ee7dfa1a,
Shark 5296,0x7da187aac5afa19c1dfc66400f66bc29da0ba80f,
Shark 5399,0xfdb36a1f4401082b059f7daedcc344bb4771dc68,
Shark 4493,0x34cae1d9e2d014b7b9e6295c66c554d7e79713d3,
Shark 4980,0x029ce969b27513ad1868d74bebe59d82d5917e17,
Shark 12299,0x8d37a11a65b4f2c541af1312bc44f74a078160c7,
Shark 4366,0xff26ccf9058b9bd8facfb6a8876864fec193285d,
Shark 12573,0x0bc7b31bf8ffac8213e496102167fe73fc30937a,
Shark 6303,0xe4727db0d9ef3ca11b9d177c2e92f63b512993a5,
Shark 12351,0x0b45bb25990f4eceee715d5d836fe718d833bba9,
Shark 12156,0x6663be61ba2bd7af4337180c7ea2921d14b687ed,
Shark 3950,0x5b98d004dc1ddcc7b698440d6c5f0884c8a69940,
Shark 10888,0x1f28f10176f89f4e9985873b84d14e75751bb3d1,
Shark 4113,0x3f47a66ada01491c3d364599e5bcbf80a1a67092,
Shark 4583,0xaae4ee7bf89195a83c084ed15b348603f9fce53b,
Shark 4791,0x1f2fc9ee909929aeeb7438de22c426b6a6874413,
Shark 4090,0xbe52537ad5b1aa790c117a961eba790d425a27a7,
Shark 3418,0x4300d8df0f1f206d8107bb0a9fd3c4e194573b9f,
Shark 3108,0x30ce6f10a617fb8c66b93817adce1379853a7b13,Done 17
